nlp_churn_score_max_30d,nlp_churn_score_mean_90d,nlp_churn_high_risk_count_30d
0.21222301943248592,0.5829511502720979,1
0.48542840300135415,0.0022622788495911816,1
0.6108290647584026,0.3522784801714576,6
0.5633642157363591,0.28074502299066106,1
0.5762269254132614,0.4099730770841659,2
0.39942775755166454,0.358890086450496,1
0.3951980576627696,0.09946692891852327,1
0.6176505269774848,0.250772412919786,1
0.6222710664311122,0.3737854333271068,1
0.6034840999770538,0.18656415360487116,1
0.37610699544990356,0.36654087989670103,1
0.3485843467921213,0.4128767118502466,1
0.15164551794299047,0.2717056375742252,0
0.35169461407175967,0.3206830503803005,0
0.1746152552830053,0.0,1
0.6087211529638732,0.13680799682372452,3
0.36569573239085407,0.38482090465481933,1
0.6494760889497675,0.20865952154948122,0
0.6003637113406397,0.21006080354110912,3
0.10887334754651541,0.6064359673184423,0
0.8080720839733688,0.9171678541247847,1
0.39085115410417864,0.342307307511612,1
0.4848421399498164,0.6657829550868025,3
0.1564439692782325,0.0,1
0.28700035471635477,0.06499549451181005,1
0.6359452345048298,0.18258000709941308,0
0.16998463770493533,0.2902709817861182,2
0.8429103420651203,0.3654375010756071,3
0.17071556968588078,0.0,0
0.3775642881289676,0.4855682400952987,0
0.48810030492134404,0.32650711544702343,3
0.7101299737489006,0.7406214426726168,3
0.5686154574044003,0.10864450347806259,2
0.3774678193486581,0.006121137495794626,2
0.7879536093107289,0.0,2
0.3219436401023751,0.10798117787431434,0
0.618902212720967,0.6298840296100429,1
0.20249303367806556,0.0,1
0.6477314857474525,0.7515367452556203,0
0.5240528752036393,0.3973524546369551,2
0.37128376951219666,0.35774539668204375,2
0.3558826238261849,0.008938022094790887,1
0.05271030772167784,0.31532247831059024,0
0.3672509860443632,0.0,0
0.0,0.2841744499378038,1
0.3051437216817685,0.35291501256639535,0
0.4575292581792759,0.5012733411985939,1
0.6708214410119255,0.3156532933224129,1
0.6740960684662713,0.32788250521625234,1
0.0,0.23472407161965075,0
0.5989153985517436,0.38261473508094007,3
0.6736395859906084,0.22759846424372884,3
0.04483881737379786,0.0,2
1.0,0.5522876921295916,3
0.4939843446125866,0.32198236054474316,1
0.5958980622187177,0.3959303472871556,1
0.07205193819985267,0.3509695849353119,1
0.3125807997574313,0.23292454510358104,0
0.4019614650141145,0.030911736557266034,2
0.5124068940690307,0.0,1
0.2808817084623156,0.002093139300503616,0
0.45512978889395206,0.730704653617039,3
