avg_monthly_spend,num_services,contract_one_year,contract_two_year,dependents_yes,deviceprotection_no_internet_service,deviceprotection_yes,gender_male,has_fiber_contract,high_spender,internetservice_fiber_optic,internetservice_no,is_loyal_customer,is_new_customer,monthlycharges,multiplelines_no_phone_service,multiplelines_yes,onlinebackup_no_internet_service,onlinebackup_yes,onlinesecurity_no_internet_service,onlinesecurity_yes,paperlessbilling_yes,partner_yes,paymentmethod_credit_card_automatic,paymentmethod_electronic_check,paymentmethod_mailed_check,phoneservice_yes,seniorcitizen_yes,streamingmovies_no_internet_service,streamingmovies_yes,streamingtv_no_internet_service,streamingtv_yes,techsupport_no_internet_service,techsupport_yes,tenure,totalcharges,churn
0.25234111508788104,-1.146183247736495,False,False,False,False,False,False,False,False,False,False,False,True,-1.1616939352451685,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,-1.2802480369298874,-0.9941940877241976,0
0.0838988567192313,-0.1762138635276938,True,False,False,False,True,True,False,False,False,False,False,True,-0.2608779199297493,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,0.0643026851883519,-0.1737398182504072,0
0.27318839436235703,-0.1762138635276938,False,False,False,False,False,True,False,False,False,False,False,True,-0.3639232943754246,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,-1.2395040756535771,-0.9596491092068434,1
0.08544911551249686,-0.1762138635276938,True,False,False,False,True,True,False,False,False,False,False,True,-0.747850415293989,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.512486259227765,-0.1952477071740473,0
0.2695510552902496,-1.146183247736495,False,False,False,False,False,False,False,True,True,False,False,True,0.1961781764018748,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,-1.2395040756535771,-0.94045745447498,1
-5.8152945770506665,0.7937555206811073,False,False,False,False,True,False,False,True,True,False,False,True,1.1584890119510036,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,-0.9950403079957154,-0.6453692184426381,1
0.07968706313658654,0.3087708285767068,False,False,True,False,False,True,False,True,True,False,False,True,0.8078023344020117,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,-0.4246248501273714,-0.1473126890908986,0
-0.3677059300174165,-1.146183247736495,False,False,False,False,False,False,False,False,False,False,False,True,-1.1650179795821258,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.9135523854430948,-0.8741690378436584,0
0.10994092134645977,1.2787402127855079,False,False,False,False,True,False,False,True,True,False,False,True,1.3296772953043026,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,-0.1801610824695097,0.3365155445113557,1
0.10224926279126871,-0.1762138635276938,True,False,True,False,False,True,False,False,False,False,False,True,-0.2874702746254075,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,1.2051336009250395,0.5314762853391823,0
-0.07143896752330188,-0.6611985556320944,False,False,True,False,False,True,False,False,False,False,False,True,-0.4935610235167579,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,-0.791320501614164,-0.7481879571842651,0
-0.027097676712190905,-1.146183247736495,False,True,False,True,False,True,False,False,False,True,False,True,-1.5240147679735103,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,-0.6690886177852331,-0.8631834699626608,0
0.12462969869370967,0.7937555206811073,True,False,False,False,True,True,True,True,True,False,False,True,1.181757322309704,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,1.0421577558197987,1.4990665744239262,0
0.12421515519126312,1.2787402127855079,False,False,False,False,True,True,False,True,True,False,False,True,1.2931128075977727,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,0.6754621043330061,1.2145888969272465,1
0.10287082665702095,1.2787402127855079,False,False,False,False,True,True,False,True,True,False,False,True,1.3529456056630036,False,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,-0.3023929662984406,0.1776880570752443,0
0.1364377442047687,2.248709596994309,False,True,True,False,True,False,True,True,True,False,False,True,1.6105590417771916,False,True,False,True,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,1.490341329859212,2.475877681529266,0
0.07726834787201944,-1.146183247736495,True,False,False,True,False,False,False,False,False,True,False,True,-1.4675060142452372,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,0.797693988161937,-0.5560508161330804,0
